subj,task,trial,laterality,log_relative_power
1,ME,1,contra,0.5261352560643193
1,ME,1,ipsi,-0.0410007035146725
1,ME,2,contra,-1.2015790731684337
1,ME,2,ipsi,1.7381674536421572
1,ME,3,contra,-0.5655473146379608
1,ME,3,ipsi,0.44763337971976075
1,ME,4,contra,-0.7476526009466569
1,ME,4,ipsi,0.8744235849159789
1,ME,5,contra,-0.9981159492814242
1,ME,5,ipsi,-1.0211772333471667
1,ME,6,contra,-1.59391631032848
1,ME,6,ipsi,-0.19195964335947943
1,ME,7,contra,-0.19968259914332853
1,ME,7,ipsi,-0.4575118117762284
1,ME,8,contra,-0.5728128436176949
1,ME,8,ipsi,-0.15340684746529593
1,ME,9,contra,-0.40540998596731714
1,ME,9,ipsi,-0.9559069080661632
1,ME,10,contra,-0.81451683818014
1,ME,10,ipsi,0.5162680550620657
1,ME,11,contra,0.52425584514699
1,ME,11,ipsi,-0.09030378352412999
1,ME,12,contra,-0.1472217800588035
1,ME,12,ipsi,-1.6208781866220798
1,ME,13,contra,-1.3112128292260317
1,ME,13,ipsi,-0.17426440199844306
1,ME,14,contra,-2.417506567826926
1,ME,14,ipsi,0.43309614218814413
1,ME,15,contra,-0.36990439177954343
1,ME,15,ipsi,-0.5664973962295656
1,ME,16,contra,-0.5682645939985402
1,ME,16,ipsi,0.0033522846987696364
1,ME,17,contra,0.07870912112509532
1,ME,17,ipsi,0.25641282981352054
1,ME,18,contra,-0.13023605080820305
1,ME,18,ipsi,-0.018457855349893637
1,ME,19,contra,-1.1927847961919622
1,ME,19,ipsi,-0.3691702851967667
1,ME,20,contra,-0.5722071523019036
1,ME,20,ipsi,-0.6768320453850618
1,ME,21,contra,-1.6747012069936158
1,ME,21,ipsi,-0.5474245495593439
1,ME,22,contra,-2.1052025448511684
1,ME,22,ipsi,-1.0643152045208752
1,ME,23,contra,-0.7947172856681965
1,ME,23,ipsi,-0.4250089199417262
1,ME,24,contra,-0.11159631490430649
1,ME,24,ipsi,-0.5906049165082703
1,ME,25,contra,-1.0982880762463618
1,ME,25,ipsi,0.6143640389139922
1,ME,26,contra,-0.028309935661300134
1,ME,26,ipsi,-0.06061484438289244
1,ME,27,contra,-0.8880495840266408
1,ME,27,ipsi,-1.2151935894665225
1,ME,28,contra,-0.4201034372556859
1,ME,28,ipsi,-0.25535931485134167
1,ME,29,contra,0.3497584590469397
1,ME,29,ipsi,0.038018152920813675
1,ME,30,contra,-0.11064239744229176
1,ME,30,ipsi,0.002205371309069837
1,ME,31,contra,-0.6496096483176897
1,ME,31,ipsi,-0.33267343700088553
1,ME,32,contra,0.44917985358128876
1,ME,32,ipsi,0.22367385778966026
1,ME,33,contra,-0.7011559985292259
1,ME,33,ipsi,-0.9009823459317252
1,ME,34,contra,-0.8558051360595899
1,ME,34,ipsi,-0.1806842064062866
1,ME,35,contra,-0.88179464823567
1,ME,35,ipsi,-0.5117520846152847
1,ME,36,contra,-0.12457688412568746
1,ME,36,ipsi,-0.32848645332507304
1,ME,37,contra,-0.04884306104032721
1,ME,37,ipsi,0.36525298507696213
1,ME,38,contra,0.4762361921304691
1,ME,38,ipsi,-0.27979596753055275
1,ME,39,contra,-0.3417426799483219
1,ME,39,ipsi,0.20455780354501107
1,ME,40,contra,-1.1528282441474438
1,ME,40,ipsi,-0.2420789453009125
1,ME,41,contra,-1.0815307807784018
1,ME,41,ipsi,-0.7159604507946589
1,ME,42,contra,-0.9688332687326654
1,ME,42,ipsi,-1.0558652417639411
1,ME,43,contra,-0.6875756036424063
1,ME,43,ipsi,-0.20774882381297383
1,ME,44,contra,-0.4461496696254384
1,ME,44,ipsi,-0.11766161259533175
1,ME,45,contra,-1.4767790016957352
1,ME,45,ipsi,-0.6739301461331618
1,ME,46,contra,-0.19420880011266628
1,ME,46,ipsi,-0.7681618312317514
1,ME,47,contra,-0.3663964619360742
1,ME,47,ipsi,-0.5728861003375779
1,ME,48,contra,-0.4424414095798501
1,ME,48,ipsi,-0.702608557779344
1,ME,49,contra,-1.065839927478686
1,ME,49,ipsi,0.4503150110270148
1,ME,50,contra,-0.1244075045232933
1,ME,50,ipsi,-0.02985288837194583
1,ME,51,contra,-0.38359201013846417
1,ME,51,ipsi,-0.8216542719572744
1,ME,52,contra,-0.10630349276685125
1,ME,52,ipsi,0.030718926204156782
1,ME,53,contra,-1.0773183548593708
1,ME,53,ipsi,-0.14837719172470112
1,ME,54,contra,-0.4460673045552308
1,ME,54,ipsi,0.03972412500023598
1,ME,55,contra,-0.1008315172694989
1,ME,55,ipsi,0.7680080313593085
1,ME,56,contra,0.021408217658249185
1,ME,56,ipsi,-0.6824294971735346
1,ME,57,contra,-0.7676785410808303
1,ME,57,ipsi,1.051510354662681
1,ME,58,contra,-0.17636839390679443
1,ME,58,ipsi,-0.19967635761541835
1,ME,59,contra,-0.19083906804079187
1,ME,59,ipsi,-0.2283706439641776
1,ME,60,contra,-0.27293766445174533
1,ME,60,ipsi,-0.566041096206072
1,ME,61,contra,0.279777934974217
1,ME,61,ipsi,-0.8675165735364047
1,ME,62,contra,-0.3844130349559097
1,ME,62,ipsi,-0.30933847990162594
1,ME,63,contra,-1.7705199645754273
1,ME,63,ipsi,-0.4196655638770571
1,ME,64,contra,0.18432561525801738
1,ME,64,ipsi,0.11142957842082951
1,ME,65,contra,-1.0731959846655108
1,ME,65,ipsi,-0.2728238478418247
1,ME,66,contra,-0.7743583210250397
1,ME,66,ipsi,-0.19424114184937769
1,ME,67,contra,-0.44300772217045625
1,ME,67,ipsi,0.02837085988299276
1,ME,68,contra,-0.41631708695971326
1,ME,68,ipsi,0.47722791985348695
1,ME,69,contra,-0.6012315883497564
1,ME,69,ipsi,-0.7421823038332994
1,ME,70,contra,-0.11951420479148012
1,ME,70,ipsi,0.030485132540052418
1,ME,71,contra,-1.3010130123925856
1,ME,71,ipsi,-0.010957191357048757
1,ME,72,contra,-0.6965595324601328
1,ME,72,ipsi,-1.2812734923056994
1,ME,73,contra,-1.051352367974342
1,ME,73,ipsi,0.4014998061775921
1,ME,74,contra,-0.7316085822523063
1,ME,74,ipsi,0.12562570413834634
1,ME,75,contra,-1.8851704634124467
1,ME,75,ipsi,-1.419241416177241
1,ME,76,contra,-0.795620405511356
1,ME,76,ipsi,-0.2382386770939513
1,ME,77,contra,-1.161994993851897
1,ME,77,ipsi,0.6040259489985357
1,ME,78,contra,-0.5421583551594964
1,ME,78,ipsi,-0.8369343397204523
1,ME,79,contra,0.4940400774458047
1,ME,79,ipsi,-0.8205897960101478
1,ME,80,contra,-0.33983049511914626
1,ME,80,ipsi,0.029546871894295446
1,ME,81,contra,-0.3487145924759248
1,ME,81,ipsi,0.6159553613630759
1,ME,82,contra,-0.8539870923091688
1,ME,82,ipsi,0.4572544521349267
1,ME,83,contra,-0.8617680546029163
1,ME,83,ipsi,0.3449274499841184
1,ME,84,contra,-0.40349990318989537
1,ME,84,ipsi,-0.12668563594419713
1,ME,85,contra,-0.713942475178379
1,ME,85,ipsi,0.5222650679353473
1,ME,86,contra,-0.44248191017709626
1,ME,86,ipsi,-1.185326553986339
1,ME,87,contra,-0.35296582136288746
1,ME,87,ipsi,-9.011786712446179e-4
1,ME,88,contra,-1.1062407334229116
1,ME,88,ipsi,-0.9844061767137074
1,ME,89,contra,-0.2669991527796949
